德赛西威|智能座舱/域控
华阳集团|智能座舱/HUD/车载电子
均胜电子|汽车电子/安全/座舱
航盛电子|车载信息娱乐/座舱
继峰股份|座椅/座舱部件与系统
中科创达|智能座舱软件/OS/生态
东软集团|汽车软件/座舱/车联网
博泰车联网|车联网/座舱
亿咖通科技|智能座舱平台
四维图新|地图/定位/座舱生态
高德|地图/定位/出行
百度 Apollo|智能驾驶平台/定位/地图
华为智能汽车解决方案|智能座舱/智驾/车控
中兴通讯车联网|V2X/车联网
星网宇达|惯导/组合导航
北斗星通|北斗/GNSS/定位
华测导航|GNSS/RTK/定位
千寻位置|高精度定位服务
合众思壮|GNSS/北斗/定位
司南导航|GNSS/定位
华大北斗|北斗芯片/定位
和芯星通|GNSS芯片/模块
移远通信|车载模组/通信/定位
广和通|车载通信模组
美格智能|蜂窝/车载模组
中科星图|时空大数据/定位相关
卡斯柯|轨交/信号与定位相关技术
经纬恒润|汽车电子/域控/软件
诚迈科技|操作系统/座舱软件
普华基础软件|车载基础软件/OS
中汽研|测试认证/功能安全相关生态
地平线|智驾芯片/域控生态
黑芝麻智能|车规芯片/智驾
芯驰科技|车规 SoC/座舱/网关
紫光展锐|通信/车载连接相关
联发科|车载座舱/连接 SoC
高通|车载座舱/连接/平台
英伟达 NVIDIA|智驾计算平台
Mobileye|ADAS/视觉方案
博世 Bosch|ADAS/底盘/传感器/ECU
大陆 Continental|ADAS/座舱/传感器
采埃孚 ZF|底盘/智驾/转向
安波福 Aptiv|车载架构/连接/域控
法雷奥 Valeo|ADAS 传感器/座舱
电装 DENSO|汽车电子/控制器/传感器
松下车载|车载电子/娱乐
哈曼 HARMAN|车载娱乐/座舱
伟世通 Visteon|座舱/域控
博泽 Brose|车身电子/机电
海拉 HELLA|照明/电子/传感器
纵目科技|ADAS/泊车
Momenta|高阶辅助驾驶软件
小马智行 Pony.ai|自动驾驶
文远知行 WeRide|自动驾驶
轻舟智航 QCraft|自动驾驶
元戎启行 DeepRoute.ai|自动驾驶
蘑菇车联|车路协同/V2X
千方科技|交通/车路协同/感知
赛目科技|自动驾驶仿真/测试
禾多科技|自动驾驶/智驾方案
佑驾创新|ADAS/智能驾驶
驭势科技 UISEE|自动驾驶/物流场景
仙途智能 Futurology|无人环卫/车路协同
图森未来 TuSimple|干线自动驾驶
华域汽车|Tier1 集团，覆盖多类系统
延锋|座舱系统/内饰与电子集成
联合汽车电子 UAES|动力/电控/电子系统
伯特利|制动/线控底盘与电子
拓普集团|底盘/热管理/机电系统
保隆科技|TPMS/传感器/空气悬架等
德尔股份|电泵/电控/机电系统
精进电动|电驱/电控
汇川联合动力|电驱/电控
英搏尔|电机/电控
比亚迪半导体|车规功率器件/芯片
斯达半导|车规 IGBT/功率器件
士兰微|功率器件/车规芯片
华润微|功率器件/车规
中颖电子|MCU 等控制芯片相关
纳芯微|车规模拟/隔离/传感接口
圣邦股份|模拟芯片/车规方向
思特威|图像传感器 CIS，车载方向
格科微|CIS/传感器
舜宇光学|车载镜头/摄像头模组
联创电子|车载镜头/光学
欧菲光|摄像头模组/车载方向
大立科技|红外热成像/感知
睿创微纳|红外/热成像传感
速腾聚创 RoboSense|激光雷达
禾赛科技 Hesai|激光雷达
图达通 Innovusion|激光雷达
北醒科技 Benewake|激光雷达/测距
森思泰克|毫米波雷达/传感
木牛科技|定位/车载相关方向
中海达|GNSS/定位/测绘
北方导航|惯导/导航相关
宁德时代|智能电动核心：电池/系统集成
国轩高科|动力电池/系统集成
广州导远电子科技有限公司|GNSS/定位/车载
